"Gen","APT","Eval","R1","R2","R3","R4","R5","R6","R7","R8"
39,0,178,3,6,4,2,8,5,7,1
110,0,320,6,4,7,1,3,5,2,8
134,0,368,4,8,1,3,6,2,7,5
0,0,100,7,2,4,1,8,5,3,6
35,0,170,4,2,7,3,6,8,1,5
22,0,144,4,6,8,2,7,1,3,5
0,0,100,2,4,6,8,3,1,7,5
67,0,234,6,3,1,8,5,2,4,7
15,0,130,2,7,5,8,1,4,6,3
153,0,406,7,2,6,3,1,4,8,5
102,0,304,5,2,4,7,3,8,6,1
91,0,282,1,6,8,3,7,4,2,5
28,0,156,5,7,1,3,8,6,4,2
93,0,286,6,4,1,5,8,2,7,3
203,0,506,3,6,4,2,8,5,7,1
113,0,326,7,4,2,8,6,1,3,5
59,0,218,4,1,5,8,6,3,7,2
27,0,154,5,8,4,1,3,6,2,7
64,0,228,3,7,2,8,6,4,1,5
3,0,106,7,2,4,1,8,5,3,6
85,0,270,2,7,5,8,1,4,6,3
116,0,332,5,2,8,1,4,7,3,6
31,0,162,2,4,6,8,3,1,7,5
103,0,306,6,3,7,4,1,8,2,5
25,0,150,5,8,4,1,3,6,2,7
218,0,536,5,2,4,6,8,3,1,7
43,0,186,6,8,2,4,1,7,5,3
0,0,100,6,3,5,8,1,4,2,7
0,0,100,3,1,7,5,8,2,4,6
88,0,276,6,3,7,4,1,8,2,5
