"gen","apt","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
998,9e-04,0,0,5e-04,0,3e-04,0,-1e-04,-1e-04,-0.0019,-8e-04
682,7e-04,-1e-04,-3e-04,-0.0013,2e-04,4e-04,2e-04,-5e-04,-1e-04,-0.001,5e-04
901,7e-04,2e-04,6e-04,0,2e-04,-0.0015,1e-04,4e-04,0,7e-04,-5e-04
1064,9e-04,3e-04,0.0014,1e-04,8e-04,-5e-04,-3e-04,3e-04,4e-04,-3e-04,-0.0013
1212,9e-04,-2e-04,3e-04,0,-3e-04,-6e-04,0.0013,5e-04,-9e-04,3e-04,0.001
959,8e-04,-2e-04,-0.0013,2e-04,7e-04,-3e-04,0,5e-04,1e-04,-2e-04,-0.0012
1088,6e-04,1e-04,7e-04,-5e-04,-9e-04,0,0,3e-04,0,5e-04,-9e-04
1055,9e-04,3e-04,0,-9e-04,1e-04,0.0011,-2e-04,-3e-04,-8e-04,-0.0011,3e-04
1188,0.001,-3e-04,8e-04,1e-04,-8e-04,-3e-04,0,0.0016,0,-0.001,0
951,8e-04,2e-04,-3e-04,0.0011,-2e-04,1e-04,-1e-04,-1e-04,0.0012,8e-04,8e-04
790,5e-04,1e-04,0,-6e-04,-7e-04,-6e-04,5e-04,-6e-04,6e-04,-3e-04,-3e-04
886,8e-04,1e-04,4e-04,0,0.0011,0.0012,-8e-04,-3e-04,3e-04,-3e-04,-5e-04
801,6e-04,6e-04,3e-04,-4e-04,0.001,2e-04,6e-04,-5e-04,-5e-04,-6e-04,-3e-04
753,9e-04,1e-04,9e-04,0.0013,0,-1e-04,4e-04,-1e-04,0,7e-04,0.001
848,9e-04,-8e-04,9e-04,6e-04,-1e-04,2e-04,-3e-04,-0.0012,8e-04,-4e-04,-8e-04
1040,8e-04,-5e-04,-6e-04,-4e-04,-4e-04,8e-04,0.0014,1e-04,0,-6e-04,-2e-04
1049,9e-04,5e-04,-0.0019,-1e-04,-2e-04,3e-04,3e-04,-4e-04,4e-04,-5e-04,5e-04
1132,5e-04,-4e-04,-1e-04,9e-04,3e-04,4e-04,-2e-04,-1e-04,-8e-04,-8e-04,3e-04
823,8e-04,-0.0016,1e-04,0,4e-04,1e-04,-9e-04,-1e-04,-3e-04,3e-04,0
1281,5e-04,4e-04,0,-5e-04,-3e-04,-2e-04,-9e-04,-9e-04,7e-04,-2e-04,0
1986,9e-04,0.0015,1e-04,0.001,1e-04,-5e-04,0,9e-04,-6e-04,-1e-04,1e-04
751,5e-04,1e-04,6e-04,0,0.0011,-3e-04,3e-04,-2e-04,0,-5e-04,-7e-04
842,8e-04,0.0018,-4e-04,-2e-04,5e-04,4e-04,3e-04,0,2e-04,0,4e-04
926,8e-04,8e-04,-5e-04,2e-04,8e-04,-5e-04,-2e-04,3e-04,-3e-04,3e-04,0.0014
764,6e-04,9e-04,2e-04,1e-04,0,2e-04,0,-5e-04,-2e-04,-0.0011,-8e-04
1213,9e-04,4e-04,8e-04,0.0012,-0.0011,-3e-04,0,2e-04,-9e-04,-3e-04,7e-04
1542,9e-04,2e-04,3e-04,-1e-04,-5e-04,6e-04,7e-04,0.0017,7e-04,-1e-04,3e-04
912,0.001,4e-04,3e-04,-7e-04,4e-04,5e-04,3e-04,-5e-04,0.0017,-9e-04,-2e-04
1037,9e-04,0.0011,-5e-04,-2e-04,-9e-04,0.001,-3e-04,0,-8e-04,1e-04,6e-04
1183,9e-04,-0.0017,-3e-04,3e-04,1e-04,-1e-04,-1e-04,5e-04,-8e-04,-6e-04,0
