"","Alcohol","Malicacid","Ash","Alcalinity_of_ash","Magnesium","Total_phenols","Flavanoids","Nonflavanoid_phenols","Proanthocyanins","Color_intensity","Hue","X0D280_0D315_of_diluted_wines","Proline","class"
"1",0,0,1,1,0,0,1,0,0,1,0,0,0,0
"2",0,0,1,1,0,0,1,1,1,1,1,0,0,0
"3",0,0,0,0,0,0,0,1,0,1,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"6",0,0,1,0,0,0,0,0,0,0,0,0,1,1
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,1,0,1,0,0,0,0,0,0,0,0,0
"9",0,0,0,1,1,0,0,0,0,0,1,0,0,1
"10",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,1,0,1,0,0,0,1
"12",1,1,0,0,0,1,1,1,1,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"14",0,0,0,1,0,0,0,1,0,0,0,0,0,0
